Bank Ticker,BAC,BAC,BAC,BAC,BAC,C,C,C,C,C,GS,GS,GS,GS,GS,JPM,JPM,JPM,JPM,JPM,MS,MS,MS,MS,MS,WFC,WFC,WFC,WFC,WFC
Stock Info,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
2013-01-02,12.05,12.15,11.9,12.03,236021400,40.91,41.4,40.7,41.25,45648500,131.3,131.66,129.62,131.66,4449000,44.98,45.0,44.22,44.66,31413000,20.1601,20.17,19.51,19.62,29812900,35.03,35.07,34.74,35.05,30443000
2013-01-03,12.01,12.05,11.88,11.96,157149700,41.17,41.5,41.04,41.39,38343300,131.7,131.78,130.07,130.94,4584600,44.74,44.75,44.2,44.57,24227700,19.46,19.61,19.32,19.58,29859500,34.98,35.04,34.61,34.76,25374800
2013-01-04,11.97,12.11,11.93,12.11,132601900,41.76,42.54,41.63,42.4298,46310100,130.93,134.64,130.32,134.51,5234600,44.45,45.43,44.44,45.36,24487700,19.68,20.25,19.58,20.19,31983900,34.59,35.04,34.45,34.94,31420300
2013-01-07,12.15,12.2,12.0,12.09,201403500,42.54,42.55,41.97,42.47,36305100,134.12,134.51,132.8805,134.26,3556900,45.09,45.485,45.02,45.41,24456900,20.02,20.13,19.67,19.8,21445100,34.91,34.97,34.47,34.77,28135100
2013-01-08,12.09,12.1,11.89,11.98,168461100,42.29,42.47,42.03,42.46,28185200,133.71,133.95,132.7,133.05,2760200,45.4,45.5,44.96,45.5,19624200,19.74,19.79,19.59,19.65,22206200,34.68,34.79,34.43,34.71,20132600
2013-01-09,11.87,12.0,11.33,11.43,335692000,42.5,43.25,41.81,42.04,44923500,133.4,134.43,133.27,134.32,3666500,45.56,46.2,45.14,45.47,25920600,19.7,19.94,19.41,19.62,26993800,34.8468,35.15,34.66,34.71,24589300
2013-01-10,11.61,11.81,11.54,11.78,199964900,42.34,43.06,41.98,42.83,42154200,135.07,138.15,134.13,137.37,5960700,45.89,46.16,45.53,46.15,23413600,19.86,20.43,19.82,20.34,39869800,35.03,35.4,34.89,35.4,37523100
2013-01-11,11.7,11.72,11.51,11.63,146136700,42.82,42.83,41.92,42.34,42517300,136.97,137.17,136.13,137.13,3211700,45.97,46.15,45.47,46.14,19723900,20.16,20.42,20.09,20.17,20880000,34.93,35.18,34.53,35.1,44149200
2013-01-14,11.61,11.63,11.38,11.47,110032900,42.36,42.55,41.71,42.22,26795300,137.19,137.32,135.66,136.13,2855800,45.89,46.18,45.48,45.88,19079500,20.24,20.24,19.75,20.07,14590200,34.99,35.06,34.52,34.77,23145600
